indicator,corr,n
Energy use (kg of oil equivalent per capita),0.8724264383525488,6608
Electric power consumption (kWh per capita),0.6442547828319654,6449
Adjusted net national income per capita (constant 2015 US$),0.6439458554100914,6264
GDP per person employed (constant 2021 PPP $),0.6416343089700878,7493
"Industry (including construction), value added per worker (constant 2015 US$)",0.5919100836312634,6849
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0.573057716899985,7814
People using safely managed sanitation services (% of population),0.556188141483803,4125
"Services, value added per worker (constant 2015 US$)",0.5518240750134511,6762
Claims on other sectors of the domestic economy (% of GDP),0.5473601189087777,1016
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.4955571390031648,746
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),0.4949848223079615,1394
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.4942716390748862,783
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.4896720446036352,759
"GNI per capita, PPP (constant 2021 international $)",0.4873527437310681,5069
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),0.4841247903439848,8062
"GNI per capita, PPP (current international $)",0.48144516872406934,8101
"Households and NPISHs Final consumption expenditure per capita, PPP (constant 2021 international $)",0.47904694239520795,6168
"GDP per capita, PPP (constant 2021 international $)",0.475276314617719,8256
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.4734210572279059,746
Logistics performance index: Overall (1=low to 5=high),0.47287662838031347,1394
GNI per capita (constant 2015 US$),0.46647248326378193,6336
"GDP per capita, PPP (current international $)",0.46184845449973905,8294
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),0.456343715376109,1394
Employment in industry (% of total employment) (modeled ILO estimate),0.45594260975050194,7814
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),0.4550622900073059,1394
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.45189133944728316,759
