cv_rmse,aic,aicc,bic,rss,r_squared,n_predictors,feature_indices,features
0.09032845500473548,-270.51052002374956,-265.51052002374956,-250.43718817142485,0.27952144312400357,0.9937944922990836,10,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 14)","['GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Changes in inventories (constant LCU)']"
0.12525915326324785,-271.325364175427,-265.18582929170606,-249.24469913786982,0.2655757271441006,0.9941040937627168,11,"(1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13)","['Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)']"
0.09859170528186244,-265.27991147876384,-262.14947669615515,-249.22124599690406,0.33059969258276956,0.9926605311016055,8,"(2, 3, 4, 6, 7, 8, 9, 10)","['GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)']"
0.10132938891364002,-270.63854573355644,-264.4990108498355,-248.55788069599924,0.2689129261778688,0.9940300063722394,11,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)","['GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'GDP: linked series (current LCU)', 'Net domestic credit (current LCU)']"
0.12881721511219002,-270.3498048204318,-264.21026993671086,-248.26913978287462,0.27032838682795507,0.9939985824790801,11,"(0, 1, 2, 5, 6, 7, 8, 9, 10, 12, 13)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)']"
0.11828240025863536,-268.2399720992967,-263.2399720992967,-248.166640246972,0.29130234054881626,0.9935329508270723,10,"(0, 3, 4, 5, 6, 7, 8, 10, 13, 14)","['Broad money (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'GDP (constant LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.12809905682993034,-270.57867321668374,-263.1501017881123,-246.4906749938941,0.2595923685776859,0.994236927141245,12,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)","['Broad money (current LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)']"
0.14634953546737287,-270.07166809350383,-262.6430966649324,-245.98366987071418,0.26199642601777856,0.9941835559336868,12,"(1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14)","['Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.12835189029669128,-270.0334439742642,-262.60487254569273,-245.94544575147452,0.26217857262545247,0.9941795121931996,12,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)","['Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)']"
0.13057430035214895,-269.81823974197516,-262.3896683134037,-245.7302415191855,0.2632064356537303,0.9941566931498154,12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)']"
0.15220117003644704,-269.556233620071,-262.12766219149955,-245.46823539728135,0.2644632759567775,0.9941287907030756,12,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14)","['Broad money (current LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.15248834664195174,-269.3787785276922,-261.95020709912075,-245.29078030490254,0.26531793315539365,0.9941098169106953,12,"(0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'GDP (current LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.15048788550149675,-269.10266689304365,-261.6740954644722,-245.014668670254,0.26665323424750437,0.9940801725974808,12,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14)","['GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.13201149002481746,-269.0139303533471,-261.5853589247757,-244.92593213055747,0.2670837975842218,0.9940706138885966,12,"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'GDP (current LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'GDP (constant LCU)', 'GDP: linked series (current LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)']"
0.15202459614574906,-269.01194335792985,-261.5833719293584,-244.9239451351402,0.26709344674546154,0.994070399672672,12,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 13, 14)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'GDP (current LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.15202535107722545,-269.01070915536735,-261.5821377267959,-244.9227109325777,0.26709944040209926,0.9940702666106714,12,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 14)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.10467559614748045,-268.9055214048673,-261.4769499762958,-244.81752318207762,0.26761075809123736,0.9940589151171255,12,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14)","['GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'GDP: linked series (current LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.1400504948922308,-266.781882402767,-260.64234751904604,-244.7012173652098,0.2884462569417271,0.9935963572284565,11,"(0, 1, 5, 6, 7, 8, 9, 10, 12, 13, 14)","['Broad money (current LCU)', 'Gross domestic income (constant LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Net domestic credit (current LCU)', 'Changes in inventories (constant LCU)']"
0.14473765401637576,-268.7335283764159,-261.30495694784446,-244.64553015362625,0.2684489258488479,0.9940403073981027,12,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14)","['Gross domestic income (constant LCU)', 'GDP (current LCU)', 'Gross capital formation (constant LCU)', 'GNI (current LCU)', 'Gross national expenditure (constant LCU)', 'Gross national expenditure (current LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Households and NPISHs final consumption expenditure: linked series (current LCU)', 'GDP (constant LCU)', 'Households and NPISHs Final consumption expenditure (current LCU)', 'Changes in inventories (constant LCU)']"
