n_predictors,cv_rmse,aic,aicc,bic,r_squared,features
2,0.3879939601513386,-113.54425030353457,-113.31348107276534,-109.52958393306963,0.9793427410704107,"['Gross domestic income (constant LCU)', 'Final consumption expenditure (current LCU)']"
3,0.3584639672100502,-115.28634971519179,-114.81576147989767,-109.26435015949437,0.9807014761499842,"['GDP (constant LCU)', 'Final consumption expenditure (current LCU)', 'Exports as a capacity to import (constant LCU)']"
5,0.3535312670659987,-119.04866474309802,-117.82417494717964,-109.01199881693566,0.9832416673196949,"['Net domestic credit (current LCU)', 'Broad money (current LCU)', 'GNI (current LCU)', 'Gross domestic income (constant LCU)', 'Exports of goods and services (current LCU)']"
3,0.3741371715270835,-114.9849314521224,-114.51434321682828,-108.96293189642498,0.9805954234946481,"['Gross domestic income (constant LCU)', 'Final consumption expenditure (current LCU)', 'Exports as a capacity to import (constant LCU)']"
3,0.37526924746953666,-114.86678016782302,-114.39619193252891,-108.84478061212562,0.9805536936770385,"['GDP (current LCU)', 'Gross domestic income (constant LCU)', 'Exports of goods and services (current LCU)']"
4,0.3600684528340321,-116.67379107514334,-115.87379107514334,-108.64445833421345,0.9818542065933027,"['Gross domestic income (constant LCU)', 'GNI: linked series (current LCU)', 'Final consumption expenditure (current LCU)', 'Exports as a capacity to import (constant LCU)']"
4,0.37465575274855983,-116.67168648283138,-115.87168648283138,-108.64235374190149,0.9818535122255213,"['GNI (current LCU)', 'Gross domestic income (constant LCU)', 'Exports as a capacity to import (constant LCU)', 'Imports of goods and services (current LCU)']"
4,0.3637145083986279,-116.43897338170339,-115.6389733817034,-108.4096406407735,0.9817765690988317,"['GNI (current LCU)', 'Gross domestic income (constant LCU)', 'GDP: linked series (current LCU)', 'Exports as a capacity to import (constant LCU)']"
4,0.38109859064937857,-116.34181767603387,-115.54181767603387,-108.31248493510398,0.98174434955366,"['Net domestic credit (current LCU)', 'Gross value added at basic prices (GVA) (current LCU)', 'Gross domestic income (constant LCU)', 'Exports as a capacity to import (constant LCU)']"
4,0.3797742000933091,-116.01004651845822,-115.21004651845823,-107.98071377752834,0.981633894959405,"['Gross value added at basic prices (GVA) (current LCU)', 'Gross domestic income (constant LCU)', 'Final consumption expenditure (current LCU)', 'Exports as a capacity to import (constant LCU)']"
4,0.38129786980150115,-115.87518435234892,-115.07518435234893,-107.84585161141904,0.9815888052882854,"['Gross value added at basic prices (GVA) (current LCU)', 'Gross domestic income (constant LCU)', 'Exports of goods and services (current LCU)', 'Final consumption expenditure (current LCU)']"
4,0.38659841972343056,-115.87262976597223,-115.07262976597224,-107.84329702504235,0.981587950123204,"['GDP (current LCU)', 'Gross domestic income (constant LCU)', 'Gross national expenditure (constant LCU)', 'Exports as a capacity to import (constant LCU)']"
5,0.36742824751497166,-117.79433824051186,-116.56984844459349,-107.7576723143495,0.9828550864359737,"['Net domestic credit (current LCU)', 'Broad money (current LCU)', 'Gross national expenditure (current LCU)', 'GDP (constant LCU)', 'Exports as a capacity to import (constant LCU)']"
3,0.3814160014093606,-113.41839738461323,-112.94780914931911,-107.39639782891581,0.9800347876179422,"['Gross value added at basic prices (GVA) (current LCU)', 'Gross domestic income (constant LCU)', 'Exports of goods and services (current LCU)']"
