indicator,closest_climate_indicator,climate_similarity,second_closest_climate_indicator,second_closest_similarity,third_closest_climate_indicator,third_closest_similarity,nearest_rank
Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances to a specific country (%),0.9999999999999999,Internally displaced people (IDP) by country or territory of asylum / origin,0.7552269172952416,Asylum-seekers by country or territory of origin,0.7437055146739663,1
"Net official flows from UN agencies, UNIDIR (current US$)","Net official flows from UN agencies, UNFPA (current US$)",0.9999999990109036,"Net official flows from UN agencies, UNPBF (current US$)",0.9999999986286999,"Net official flows from UN agencies, CERF (current US$)",0.999999998319172,2
"Net official flows from UN agencies, UNCDF (current US$)","Net official flows from UN agencies, UNFPA (current US$)",0.9999999989931503,"Net official flows from UN agencies, CERF (current US$)",0.9999999986574225,"Net official flows from UN agencies, UNTA (current US$)",0.9999999984065602,3
"Net official flows from UN agencies, UNWTO (current US$)","Net official flows from UN agencies, UNTA (current US$)",0.999999998987699,"Net official flows from UN agencies, IAEA (current US$)",0.9999999988307544,"Net official flows from UN agencies, CERF (current US$)",0.9999999986830432,4
"Net official flows from UN agencies, SPRP (current US$)","Net official flows from UN agencies, CERF (current US$)",0.9999999989387657,"Net official flows from UN agencies, UNTA (current US$)",0.9999999988208899,"Net official flows from UN agencies, WFP (current US$)",0.9999999983126788,5
"Net official flows from UN agencies, SDGFUND (current US$)","Net official flows from UN agencies, UNTA (current US$)",0.9999999987323502,"Net official flows from UN agencies, FAO (current US$)",0.9999999982999193,"Net official flows from UN agencies, UNAIDS (current US$)",0.9999999981944188,6
"Net official flows from UN agencies, UNCOVID (current US$)","Net official flows from UN agencies, IFAD (current US$)",0.9999999986304731,"Net official flows from UN agencies, UNFPA (current US$)",0.9999999985870353,"Net official flows from UN agencies, CERF (current US$)",0.9999999981782142,7
"Net official flows from UN agencies, UNECE (current US$)","Net official flows from UN agencies, UNAIDS (current US$)",0.9999999986184597,"Net official flows from UN agencies, FAO (current US$)",0.9999999982047848,"Net official flows from UN agencies, UNPBF (current US$)",0.9999999981880872,8
"Net official flows from UN agencies, UNEP (current US$)","Net official flows from UN agencies, UNFPA (current US$)",0.9999999984851812,"Net official flows from UN agencies, UNPBF (current US$)",0.9999999981308096,"Net official flows from UN agencies, CERF (current US$)",0.9999999981193074,9
"Net official flows from UN agencies, UNIDO (current US$)","Net official flows from UN agencies, UNTA (current US$)",0.9999999982980702,"Net official flows from UN agencies, UNFPA (current US$)",0.9999999982957319,"Net official flows from UN agencies, CERF (current US$)",0.9999999982601407,10
"Net official flows from UN agencies, UNWOMEN (current US$)","Net official flows from UN agencies, UNTA (current US$)",0.9999999981875811,"Net official flows from UN agencies, CERF (current US$)",0.9999999980786692,"Net official flows from UN agencies, IAEA (current US$)",0.9999999977195696,11
"Net official flows from UN agencies, UNCTAD (current US$)","Net official flows from UN agencies, UNFPA (current US$)",0.9999999979018508,"Net official flows from UN agencies, CERF (current US$)",0.9999999978239645,"Net official flows from UN agencies, UNTA (current US$)",0.9999999977989552,12
