country_code,country_name,regression_rmse_base,regression_mae_base,arima_rmse,arima_mae,regression_wins_base,arima_wins,n_test_points,arima_order
BRN,Brunei,0.23567315558148705,0.18964402499798488,0.08607928843712954,0.023024978115587253,0,14,14,"(1, 1, 0)"
KHM,Cambodia,1.4170661001375042,1.1456277136528843,0.5893033206581559,0.3281845785293613,0,14,14,"(1, 1, 0)"
IDN,Indonesia,0.6861290919121135,0.6478903755779386,0.27138972035866027,0.1998946226766957,1,13,14,"(1, 1, 1)"
LAO,Laos,0.198677261525891,0.19770691944936353,0.01617270322560261,0.005214893279359549,0,14,14,"(1, 1, 0)"
MYS,Malaysia,0.27025860732110046,0.22537756299399803,0.2535735191482165,0.1309226835241683,4,10,14,"(1, 1, 0)"
MMR,Myanmar,0.45341380810620496,0.4384841103003687,0.021841268698332687,0.010757423663968322,0,14,14,"(1, 1, 0)"
PHL,Philippines,0.1054526700777061,0.10336287638922188,0.07375624151796971,0.02667048862901186,1,13,14,"(1, 1, 0)"
SGP,Singapore,0.40826542155669576,0.3627922216463543,0.13471725386493874,0.0778393378257317,2,12,14,"(1, 1, 0)"
THA,Thailand,0.0676167048569361,0.04359969669503475,0.057757502943426145,0.026163447285103558,1,13,14,"(1, 1, 0)"
TLS,Timor-Leste,0.11917415034200725,0.11892638247330314,0.02611114288283089,0.011261264949901826,0,14,14,"(1, 1, 1)"
VNM,Vietnam,0.6961672229075131,0.660798384329569,0.22115193406589123,0.16171244028257195,1,13,14,"(1, 1, 1)"
