cluster,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60,component_61,component_62,component_63,component_64,component_65,component_66,component_67,component_68,component_69,component_70,component_71,component_72,component_73,component_74,component_75,component_76,component_77,component_78,component_79,component_80,component_81,component_82,component_83,component_84,component_85,component_86,component_87,component_88,component_89,component_90,component_91,component_92,component_93,component_94,component_95,component_96,component_97,component_98,component_99,component_100
0,0.01798297965808092,0.05755380738302792,0.02765019355091645,-0.00826774760686925,-0.0013171337466607244,-0.00304049468074212,0.03236221533891538,0.01678190452874279,0.05070459588906661,0.29992413463691214,-0.0089683729140698,-0.038889215900858844,-0.004596410545174224,-0.014869219350739041,0.0418798362993598,0.006965327403357976,0.012953921058976354,-0.04287323882070197,0.006700738520979705,-0.022019455738140625,0.06001852614669703,0.042721438604419605,0.021373124964344552,0.10823386532964407,-0.05555294900096617,-0.043198964754611616,0.006779792393882351,-0.012485087499385381,-0.019647746141350345,0.0013651732766961364,-0.021606241979499948,-0.00481851378726139,-0.013609675798217877,0.027717937774389734,-0.019181333047388473,0.010003875201162672,0.022429618786969783,0.010663220735823136,-0.0055416212624343104,-0.01709306972451467,0.0002027112023961111,-0.026506720746583882,0.013546378472361571,-0.013094401107433163,0.014431244350099123,0.004006800339205625,-0.005592930375740976,-0.01209643946912851,0.006338933125015733,0.019985358893915527,-0.0017175141670534573,-0.030165265918753972,-0.013590922594825416,-0.022236289194209554,-0.017788764231145462,-0.03067669611754041,-0.046943444885317404,0.031773340917810276,-0.017535715485527965,-0.0518576871827904,0.012499984388030839,-0.028339324286924098,-0.060879297411502394,-0.01208274348897054,-0.011710766005456551,-0.018362536644248018,0.040891590079410234,-0.027854183702828803,0.01370223339891429,-0.010823136648756712,-0.004455369140750698,-0.0014086045275554545,-0.00937221058127699,-0.00294140370999774,-0.0036233307456721166,0.014429038529952023,0.002130123195200232,0.008919990773696176,0.009645235573551476,-0.018937746451795946,0.005811358164616463,0.027409223402066106,0.010388022750291473,0.02770046342476876,0.04259711011072703,0.03048850813029912,-0.0015009780456913995,0.0268949368795231,0.07355317239570369,0.024393275308489844,-0.0338613139249453,0.009274049832812686,-0.030796162215624652,-0.014109178135327246,-0.020499884632595784,0.01416555449958785,0.03700325193936183,-0.006434643125160084,0.016400132566724766,-0.017277973557499614
1,0.500667685983459,-0.04533236170019975,-0.024498883289073403,0.31122291720571515,0.09628214221997392,-0.165833698031799,-0.14670335597365722,-0.034685618511666655,0.018232937109062045,-0.0006027927690550328,-0.03727663133816712,-0.06767698358767904,-0.008126602124841866,0.0424231508215096,0.02131657697054994,0.09102572849014437,-0.011000768256318617,0.08793056812432054,-0.06937069211518596,-0.026900918652734432,0.006788782740223848,-0.00873137612182832,-0.02584523850571034,0.006866621319477873,-0.0211292014291051,-0.011884615993321144,-0.03495394175992533,0.04935240886221089,0.012739458683248082,-0.0193226941068413,-0.04037625324684527,-0.009862962749571595,0.026321717252445635,0.04682531622032388,-0.009148248598027979,0.02188724866760295,-0.0014031845855957325,-0.0027306000048067753,0.004388017169581983,-0.03331611583737876,0.01162379980697346,0.0015907633984340135,-0.0035433976060350696,0.0003325235470417291,0.0030834943194276033,0.004887908309131866,0.003258973401383056,0.004703389735057002,0.007678547557496943,0.006654325538349382,-0.0006186757006170739,-0.00010760314359435424,0.00023343820421257034,-0.0011986559351119452,0.006042138662640356,-0.010469020744642616,-0.0060983075494254625,0.0003889061615183003,0.009028756300552507,0.0034182796542558754,-0.008379664795734324,0.010443326997221763,-0.0037707405144579297,0.01365570213003994,-0.002993717781949695,-0.003510024242482572,-0.001917263106406086,-0.004288889692388352,-0.000163582691475273,-0.0032703006233207946,0.007671634232069885,0.013607498077676906,-0.009227506347741962,0.009600149202349455,-0.004256602800396723,0.011952324690094928,0.012742930216633716,-0.005206931996529928,0.0011436125447497072,0.005632194541413621,0.002532238489723237,-0.006196803060313854,0.0016207691116909956,-0.00946308474890294,-0.01908545516077441,0.002721791806830985,0.0017513637460290997,0.006663662501196826,-0.0033934776145781035,0.00038089207267035744,-0.0013769996864683885,0.008350982359629899,-6.37868216261093e-05,-0.002125441276006267,0.00971659347884893,-0.01756541459843721,-0.00013957834956253388,0.003774190342394369,0.0013598210458384153,0.01168746437900551
2,0.025330825606163274,0.18868751663924163,0.14248533675606048,-0.00999477229836244,0.004364564907875939,0.0009522408343978685,-0.052492580966125066,0.11451546576564355,0.009871193083014077,0.005681917544931112,-0.0011670630547795792,0.0005446708349766327,0.016074125765588327,-0.012835082548456694,0.1123968516098232,0.000750144451280292,0.02250805417191695,-0.0006296432205265094,0.0005837721556605738,0.01020794405917002,0.009987628995767488,0.0033291443539981676,0.0005197302329527434,-0.03219683689102672,0.008133903073012662,0.02799491230619998,0.0004438391717806276,0.04305429989050184,0.014690687194371953,0.021853963061104657,0.05946285516736831,-0.01201447997427453,0.006125936545047103,0.04467802558214301,0.0633140603675072,0.030301439807922128,0.03163905877326322,-0.005847122275799134,0.03271719126299302,0.04970395556432008,0.011181608721633813,-0.0008404598699391919,0.024061458199487337,0.0005771696131444005,0.00037500116668936524,-6.613193966355929e-05,-0.007896593109153964,0.00993362101471203,0.0006561578767959319,-0.002489378148969665,-0.004077774295136311,0.022905767594598843,0.0027878706811838355,-0.007905423370584246,-0.005293490950647202,-0.00030450953633779157,0.009753155765635175,-0.021983681471784706,-0.008055954106196379,-0.004064441034742943,0.020302320933627493,-0.009347362615688182,-0.00881968408012736,0.005985244993311786,0.0011783284823666375,-0.0038012948458937615,-0.00534206821759814,0.00012191746789743285,0.007317889525072984,0.008164818098356329,-0.008917633604219502,0.026585985516745236,0.012568909811904816,0.012341563707734777,0.008379648649885317,0.007546636568618453,0.0012087002900020684,0.007288394281841738,-0.005994713171874011,0.0026068696429204174,-0.013816658315181226,-0.0060012009085723145,0.014061658733633917,0.0013108012322114431,-0.0010479104264224093,0.009566182937790428,0.0045174324501797754,-0.005050677908636803,-0.009146493221798443,-0.006061806985164054,-1.689149163199813e-05,-0.006936675952603724,0.006219769135941935,0.003143136657007106,0.009970487288805813,0.004643345231027655,-0.005854176854895423,0.004428432560065653,-0.012488164424543851,-0.003593399222477087
3,0.025350531196453877,0.024054384468159995,0.03651024011043415,-0.014384239943994579,0.04868565743746734,-0.0005567256099840642,0.012500004886526233,0.015803174022253563,-0.017363390038033163,-0.00855647870739747,0.0055022649961514744,-0.01831301112734801,-0.06320795516768128,-0.011520320424031505,-0.03482148018822461,0.049101191822647564,-0.06599167581693899,-0.2674236910706196,-0.1661190843265375,0.13200104001589932,-0.23209999190524486,-0.034239384488528785,-0.036824821552124236,-0.022641027598124384,-0.22070765623241895,-0.051388787926263356,-0.025760239065252453,0.0032587627643263107,0.010600388092709873,0.07129922689135622,-0.007350166211236759,-0.009428912009821142,-0.09448331257997496,0.005700212823801942,0.07597319215554885,0.1813746780198407,-0.1046098724427725,0.026864092198695455,-0.053444442818246625,-0.020017402141975286,-0.008439704387721453,0.034211307971460346,-0.015335582890197638,0.007371705664485373,-0.0156730822718567,0.03875768704265061,0.002707342675578649,-0.018800344783626185,-0.0053682830915428885,-0.006985162418940889,0.007314760781728946,0.007448663499089404,-0.011497742617852153,-0.002135152156362076,-0.003935536364402581,0.01372853659598833,-0.0012026437808864711,0.0016078149540955451,-0.0003338621733988912,0.0010794499388299694,0.002279295225831198,-0.0017117006171952559,0.0023204422720507272,0.002043123374170472,0.004281122914047471,-9.216114143603118e-05,-0.0018422431051264084,-0.0001121714092154559,-0.0012504682778379356,0.0026918850108006544,-3.6447749477367536e-06,0.00738851022691519,0.002788718365652828,0.0012731450369673218,0.000983033540887548,-0.0023871308470434748,0.009337678963278313,-0.0001424377769361912,-0.0007395028914715862,0.012075214259504238,0.004892299462337553,-0.04293361764401702,-0.045053998807082454,0.016006708781840403,0.0012147965434844304,0.007190607169619016,-0.0006201462149899592,-0.018590134449865528,0.005067809071088845,0.011961305376691931,0.018310978284600005,-0.030302747738637306,0.001418187863788708,0.010220058358661271,0.0028216102889268824,-0.01664786003472612,0.019394332558838757,-0.01668584964289507,-0.0063931856754278265,-0.016737389194072253
4,0.2321448099576502,-0.012606890059094614,-0.010836008031936073,-0.022597861119886743,-0.002667422055540585,0.2517192610656661,-0.17931105290170457,-0.1003983700944674,0.012512827682125159,0.010445711261503007,-0.027771338992348512,-0.08057645919073374,0.030204611416555102,0.0240251234712733,0.0017302899455253961,-0.16652813997443225,0.022463173832844418,-0.08954013978365613,0.07209548286729098,-0.01419460220802747,-0.01235333978185414,-0.018664372929555535,0.015378307838175776,-0.017755183322049,-0.021370163710996967,0.050270862065705385,0.11046988814247585,0.08035037977495221,0.0014550776320928415,-0.015746646406997612,-0.03892153882799462,-0.0015454348724781046,0.0023583279907632574,-0.013565994960221019,-0.02075262902520957,0.01691958645104063,0.014638827979396085,-0.009560448756426747,0.004891230264423264,-0.015070009455543263,-0.02980118233289595,-0.007635026174247821,0.03983245665019249,0.012904009823493925,-0.005911390483615036,0.008794747292375013,-0.010219494512410356,-0.018265993967203485,0.029775459829872647,-0.028641192151579804,0.039428748851580646,-0.0008957384512396586,0.037246275042813706,0.0037586332939543825,0.0064697630223993245,0.012301140750227408,0.0037401087726243345,-0.006971525093549483,0.007569611125630915,-0.0022941668874321233,0.005817586406374177,0.0022405322295141828,0.0014975808012330921,-0.0013773628733520127,0.012531130867022434,-0.01215157381922262,-0.00026433829691945693,0.0028167944827040513,0.011054039383440425,-0.022369831976097817,-0.014273189280000662,0.009267428798371374,-0.008587970380162867,0.010050562637333036,0.012360666994785602,-0.0241211586423879,-0.013604896881346216,0.0245525612867867,0.010509653010214736,0.005191434781031838,-0.014023352104926614,0.015213313600462484,-0.022559349294885025,-0.0406312678659167,0.004273883705502224,0.0017277687854446132,0.006130566827108849,-0.02783037768133649,0.0075302697665733855,-0.011233818610765955,-0.005005866567437463,-0.0007434252584737292,-0.04201433702888292,0.015358036224303581,0.013548317702753675,0.02593886758488356,0.02875610479561673,-0.02618701599581508,0.014307788336701883,0.012303404556086871
5,0.48952438261824094,-0.04102626249481392,-0.01224140138705914,-0.34794209300111845,-0.11665623895200508,-0.0792315870298556,0.1154235915705889,0.0503232185012314,0.0041742656283793485,-0.011611639083940185,0.01673701496813428,0.0522791406112582,0.019247334984322996,-0.07510267452219455,-0.020160320291024453,0.03607509047147426,0.00963036775661918,0.010042705018148065,-0.0002682930715725209,-0.012752012809665626,0.00047633187011662977,-0.0024976566290532565,-0.008469358081210885,0.006764554166931135,-0.000420143960448904,-0.0035884054173501954,-0.006924950114648439,-0.003159688014734857,-0.000162796885578239,0.00305708278955246,0.005112605277847069,0.0011372273623699199,0.0013277166740523205,-0.009462825840436999,0.00554167333879025,-0.0010766422301176186,0.001088722117364934,-0.0028403271297546134,-0.0144771390031425,0.01172174940414865,0.008112086609130986,-0.007273530881939619,-0.020303603447047177,-0.017116799720022974,0.011951899003568241,-0.007555461537629964,-0.0003525952462316772,-0.00267608609813647,0.011793929633151904,0.004276248055771501,-0.00633445606728648,-0.002302170278470775,0.007987458295374002,-0.0011375813357490075,0.0003851968918605758,0.0006181222176831281,-0.0019048345529075305,0.006156074667549618,-0.002327283549350381,-0.006664223205558068,-0.001225669168689443,-0.0009346021798334568,0.014320758869799935,0.010934020875883703,-0.004133465542976043,0.00866279126871291,0.004312466645595179,0.009411645836233605,-0.0032068516719496584,0.006144690362758387,0.011412378198926808,-0.0034593502964499635,0.008056717205368052,-0.0013386903535258258,-0.01302833278429711,0.009495200965502808,0.0009174004130403975,0.003955550744754661,-0.007285554460231477,0.00789298924463427,0.0016904755941543228,0.008364639048876743,-0.0008942175746378968,-0.008154650373224949,-0.0064051926943550965,0.005814731174978384,-0.005297362039596697,-0.006969424927307974,-0.011292603138719846,0.0022967323400039435,0.0023570020116759466,-0.002105364430180663,-0.009204855206900451,-0.00016049949072154644,0.004614313619984602,-0.007434203304432567,-0.00034086114360406053,-0.0033890157049236056,-0.008367894351389044,0.005955002157719408
6,0.03485926257677412,0.21428329874952512,0.23073424775238974,-0.1260810417823679,0.37376515559513956,-0.011628168818889895,-0.02715189480349586,-0.026954348786611546,-0.05006809955668267,-0.04563513967569367,-0.006471475163730934,-0.057312609663523736,-0.24073287934561224,-0.10270699169299982,-0.19448839053989733,0.0010497971018971724,-0.07555689990993611,-0.03525411676918119,0.015238021479353842,-0.003335377312854961,0.08867781864085268,-0.05829356638893233,-0.020819433254197453,-0.04985266539420624,0.015401920664882817,-0.076304489245019,0.03550524803818472,-0.046659861271087434,-0.007269084780256241,-0.05582351744135476,-0.03890890833400533,-0.05804654105228459,-0.03436193175655244,0.04428198108944505,-0.0810257091564489,-0.04361849515538589,0.008650673924473724,-0.005077130925855469,0.017003463201781217,-0.0017535102319563985,0.0358739457461556,-0.02274353227981192,0.026663963639702585,-0.01100908535060663,0.03067948327356579,-0.021582960277096986,0.005402669149429959,0.02121603217292126,0.02292147156770451,0.03456733189740745,0.011374447597239146,0.010995150696260388,-0.00948464151984275,-0.007413059714629127,0.013783623542008842,-0.006421428214670781,0.009038468195081688,0.009486795606368947,0.0026984782375847846,0.0077990473796655255,-0.0009132909391925334,-0.005399224455128641,0.005096424030544926,0.015883414123883482,0.005585075333987258,-0.012959820453263996,-0.012903278743062671,-0.020792789218030447,-0.006523200105026029,-0.001828259392232087,-0.002795590997149303,-0.001481079815785246,0.012941282609951482,-0.005718359226148988,-0.006788286781098446,-0.0068530294008985835,-0.018725596963116826,-0.0011340475755254225,-0.0030256665704771965,-0.011474778020364692,-0.010748449237938204,0.013356515383660814,0.004726032808320291,0.0020897630574407437,-0.006020049765078713,0.005086714699750441,0.01713638231768783,0.0283892996793205,-0.020191881393619104,0.012904667981656256,-0.02166907875325729,0.008953684317298247,0.006849444237490985,0.0014472094432332744,0.012904459966493254,-0.006574604409103036,-0.004389913968939592,0.0019975074697517617,0.015699082368339872,-0.006661770852477635
7,0.019331431750146177,0.06787408572280189,0.07913499206005642,-0.09431762295962991,0.256420928849384,-0.038655249727315294,0.09654556528061177,-0.22028552739059343,-0.0603858331549034,0.023525892353012414,0.015531805809713117,0.036558403428242445,0.22711504616843986,0.1315605165487695,0.09176158224817689,0.011725438069222594,-0.018949744248991686,0.005603217183493735,-0.02419079852980594,0.051864532043983,-0.06686305743844881,0.006650141989191889,-0.028520266469977865,-0.018425284941815,-0.05949239418085167,0.0019187182210201456,-0.0032880206009410426,0.012110587587875286,-0.1240145436755844,0.05304295859380062,0.07744794432477599,-0.2222201338943804,0.1629051520777126,-0.07015597267840996,-0.041382686536277365,-0.055985158275194236,0.028498990739303367,0.014537337229284034,-0.00815302696562786,-0.007926146124216623,0.010588007557548526,-0.025645775209909447,-0.001819187946893036,0.002160078667713757,-0.009609333409110233,0.013722991751402031,0.005202335269439942,0.0008683205569479865,-0.010050541042677821,-0.02094392880522739,-0.0015982795755549077,0.004091339018219948,-0.003981664411041105,-0.00797296242125503,-0.0040322793627809595,0.0010702966052341832,0.003353606044920071,0.006437188613766026,-0.0013373055029707217,0.004395304633805202,-0.0019012506253536267,0.0024453764600383303,0.008954060637456714,0.009826775912095853,-0.0024150982279156925,0.0066896554209138395,0.00904822728580429,-0.003636015724075679,0.005311353084787587,-0.0018612185918003153,-0.005053092734925287,-0.004785602228488554,-0.0030317544870468653,-0.0017630426120639618,0.005666646577551847,-0.013664305704416256,-0.022395108414989012,-0.011047039141670654,0.0035656651019810403,-0.015035514626473354,0.0006617115226343231,0.010614499609506809,0.0010093334006181375,-0.003086230383849433,-0.018794962063838697,0.005414288742228051,0.006860164630487395,-0.022926409189839382,0.005248127369623989,0.019415511787551215,-0.007887689840453838,0.020109005984093434,-0.005448983933521072,0.03641458843222613,-0.01193532059552844,0.00665945905606279,0.004963193903109122,0.005547011865697619,-0.024673874830224873,-0.011639685012445219
8,0.11005992624045342,0.12702295772252203,0.18983333967337906,0.10598936441685458,-0.1650659474340478,0.06135680886106649,0.1843809410608598,-0.07239687278854182,-0.053874806799559645,-0.009181350120731829,-0.007869902605852849,0.03069877064878218,-0.08806477421475596,0.12125469863705934,-0.008536464719383935,-0.013737273364285289,0.03946919160274429,-0.014587308179926189,-0.01031908456696116,-0.014934277920157238,-0.017979205169688775,-0.013551961136174469,0.010535744503348205,-0.001787135614034035,0.041479001804338306,-0.023624483850689132,0.013213883823938578,-0.021201893399943814,-0.014613736047383702,-0.006210563514102194,-0.0407401111604373,-0.009969512495055968,0.01173710834294235,-0.006141736597282145,0.006151956011529725,-0.004907092146172154,-0.015106494455929417,0.001143797704789072,0.003988639083515336,-0.020492351021741812,0.0075468156181328966,0.012180029981558378,0.0178753418906266,-0.0031659785406247445,0.00356605857181274,0.005712124656909325,0.002613814432030021,-0.00031940477224433415,0.004274410126785513,-0.012426330256123937,0.0017501701416506239,0.007791796381995931,-0.002308425431601391,0.0022133232642435868,0.02417798380444529,0.00356067819462858,-0.006648988851780365,0.005548313445016624,0.008607702245054952,0.015859301848521284,-0.005255632891261526,-0.014177511151768608,-0.00439167362383464,0.0043654469017410085,0.006757118098077526,-0.014636033137919759,0.009708749610907494,0.005522354655946398,0.004663476960021195,0.0030354339039176696,-0.01254183539185756,0.005752654307678675,-0.003749249987976699,-0.009101139628956142,0.0011841160198553292,-0.007873717678088202,0.00818277708793867,0.00580619964834382,-0.00729422625264027,0.004208832143036146,0.004112488556847789,-0.008020210212335144,0.010776868800591637,0.007833721502082674,-9.980774204047631e-05,-0.0026691673304255247,0.006942234473081805,0.0024770723746185,0.01311218386779607,-0.0037215088313633546,0.0016945827630759796,0.005309423694187681,-0.002218941922090674,0.006852039955368761,-0.008512650442474146,-0.009789759243543254,-0.0007861222344110116,0.007062506395358405,-0.008810668719761529,-0.003096377687089029
9,0.09096136916953558,0.00031505785690269517,0.005197342484209708,0.03163334886054718,0.010967330382187848,-0.03493018344244492,0.008393287790474449,0.01798290308332221,0.007941758321849587,-0.0015835317536133375,0.006801086204471876,-0.062556700266232,0.027158998180290356,-0.010187531614608194,-0.03103870169851081,-0.03806191111743692,0.00339706033085768,-0.014794228126360689,0.011532544267768815,0.21424332964781267,0.00571940370065761,0.09986660997987143,0.12353941481623451,-0.015289101404588291,0.04670097852160699,0.014870201051146536,0.05053278633013498,-0.06992613239289913,-0.032538444424208106,0.03442679813843699,0.02851139122792358,0.02440535045007204,0.003977714296064005,0.0025434059563845314,-0.0012273168916720916,-0.005590456148416998,0.007429452179255095,-0.018888344055596768,0.041207649316011834,-0.01635619756411388,-0.04177457817851395,0.03144997360336389,0.017499505400505173,0.10153853307117741,0.1325268802530004,0.05935441605446064,-0.01828160781129538,-0.010779028162681826,0.005922029432480928,0.00626787597892989,-0.020672131227237815,0.014194016702008821,-0.002207500408255113,0.003952990285614231,-0.01033570102983728,-0.02291763809574788,-0.0155433780644467,0.014018435437918142,0.015348184952236187,0.053113451001950425,0.042028832266430755,0.011558574233557144,-0.021001056415369604,-0.008748296030501349,-0.006982762313073459,-0.001933434561569455,0.013923386236232712,0.021230509234520745,-0.042839232443155455,0.025551240850531745,0.016830362609347983,-0.01292491773505145,-0.023794619520049846,-0.049762327437873136,-0.02217198742427713,-0.006411482456535734,-0.029299714221282927,0.00618649388586069,0.016614302428133554,-0.02430735370123271,0.006862153268461457,0.010006815475095425,0.016462673659562464,0.006390249262360983,0.011691853453438874,0.03318849966518022,-0.037072117623586726,0.025929715500058157,-0.01957893245292262,0.01724181965043524,0.054598059022176605,0.0014394223205720777,0.004389309194430225,0.014993243896032493,0.020195179603150905,-0.020432542654558638,0.01888433445300096,0.031464667328996145,0.043353280537666725,-0.005402591218556176
