indicator_label,cluster
Adjusted net national income (annual % growth),0
Adjusted net national income (constant 2015 US$),0
Adjusted net national income (current US$),0
Adjusted net national income per capita (annual % growth),0
Adjusted net national income per capita (constant 2015 US$),0
Adjusted net national income per capita (current US$),0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",0
"Adjusted net savings, excluding particulate emission damage (current US$)",0
"Adjusted net savings, including particulate emission damage (% of GNI)",0
"Adjusted net savings, including particulate emission damage (current US$)",0
Adjusted savings: carbon dioxide damage (% of GNI),0
Adjusted savings: carbon dioxide damage (current US$),0
Adjusted savings: consumption of fixed capital (% of GNI),0
Adjusted savings: consumption of fixed capital (current US$),0
Adjusted savings: education expenditure (% of GNI),0
Adjusted savings: energy depletion (% of GNI),0
Adjusted savings: energy depletion (current US$),0
Adjusted savings: gross savings (% of GNI),0
Adjusted savings: mineral depletion (% of GNI),0
Adjusted savings: mineral depletion (current US$),0
Adjusted savings: natural resources depletion (% of GNI),0
Adjusted savings: net forest depletion (% of GNI),0
Adjusted savings: net forest depletion (current US$),0
Adjusted savings: net national savings (% of GNI),0
Adjusted savings: net national savings (current US$),0
Adjusted savings: particulate emission damage (% of GNI),0
Adjusted savings: particulate emission damage (current US$),0
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",0
"Annual freshwater withdrawals, total (% of internal resources)",0
"Annual freshwater withdrawals, total (billion cubic meters)",0
Aquaculture production (metric tons),0
"Bird species, threatened",0
Capture fisheries production (metric tons),0
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),0
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),0
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),0
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),0
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),0
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),0
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),0
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),0
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),0
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),0
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),0
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),0
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),0
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),0
Cereal production (metric tons),0
Electric power transmission and distribution losses (% of output),0
Electricity production from coal sources (% of total),0
